source,target,mentions
martinomalley,jimwebbusa,1
martinomalley,martinomalley,1
martinomalley,joebiden,1
martinomalley,scottwalker,1
martinomalley,johnkasich,1
martinomalley,lessig,1
martinomalley,governoromalley,1
martinomalley,governorperry,1
martinomalley,chrischristie,1
martinomalley,lincolnchafee,1
lindseygrahamsc,martinomalley,1
lindseygrahamsc,chrischristie,1
lindseygrahamsc,sensanders,1
lindseygrahamsc,governorpataki,1
johnkasich,marcorubio,1
johnkasich,scottwalker,1
johnkasich,governorperry,1
johnkasich,joebiden,1
johnkasich,bobbyjindal,1
johnkasich,governorpataki,1
scottwalker,tedcruz,1
scottwalker,lindseygrahamsc,1
scottwalker,realbencarson,1
scottwalker,jebbush,1
scottwalker,marcorubio,1
governoromalley,martinomalley,1
chrischristie,marcorubio,1
chrischristie,scottwalker,1
chrischristie,ricksantorum,1
chrischristie,carlyfiorina,1
chrischristie,governorperry,1
chrischristie,berniesanders,1
